instance,size,density,sa_energy,cplex_energy,velox_energy,gap_cplex,gap_sa,runtime_velox,runtime_sa,runtime_cplex
weighted_max3SATIsing_sparse_L=500000_6.h5,999998,3.99916399663999e-6,-307820.3,-312191.8,-312158.12,0.010790641,-1.4092028,41.499092308,8889.282453149,38.825336675
weighted_max3SATIsing_sparse_L=500000_7.h5,999998,3.999715998847997e-6,-308210.06,-312584.47,-312549.94,0.011047014,-1.40809,40.265244049,8887.787954973,37.985349767
weighted_max3SATIsing_sparse_L=500000_8.h5,999998,4.000050000184001e-6,-307999.3,-312383.5,-312348.1,0.011334226,-1.4119451,40.551767385,8887.712687136,40.063936368
weighted_max3SATIsing_sparse_L=500000_9.h5,999998,4.000376001488005e-6,-308173.6,-312546.16,-312510.72,0.011338325,-1.4073642,41.887718319,8888.654731411,38.641980546
weighted_max3SATIsing_sparse_L=1000000_1.h5,1999998,1.999684499366999e-6,-616396.94,-625227.5,-625159.1,0.010936019,-1.421517,82.049376335,18368.671621633,84.171275406
weighted_max3SATIsing_sparse_L=1000000_10.h5,1999998,2.0003875007730013e-6,-616503.5,-625273.2,-625203.75,0.011105145,-1.4112247,80.323650861,18377.748312431,85.973626048
weighted_max3SATIsing_sparse_L=1000000_2.h5,1999998,2.000333000664001e-6,-616456.94,-625196.75,-625126.5,0.011236463,-1.4063534,82.860385049,18371.514210966,84.47432064
weighted_max3SATIsing_sparse_L=1000000_3.h5,1999998,2.0007405014790022e-6,-616563.06,-625326.8,-625255.1,0.011464005,-1.4097605,79.028117654,18374.578721773,105.526623765
weighted_max3SATIsing_sparse_L=1000000_4.h5,1999998,1.9998524997029995e-6,-616213.75,-625000.8,-624933.6,0.010749985,-1.4150732,81.297900685,18376.055838179,83.115899762
weighted_max3SATIsing_sparse_L=1000000_5.h5,1999998,1.999644499286999e-6,-615783.7,-624598.2,-624526.6,0.011457366,-1.4198066,81.682849785,18373.874255989,85.51144308
weighted_max3SATIsing_sparse_L=1000000_6.h5,1999998,1.999989499977e-6,-615959.25,-624769.0,-624696.56,0.011594285,-1.4184887,81.889145996,18374.758853125,86.541995582
weighted_max3SATIsing_sparse_L=1000000_7.h5,1999998,1.999936999872e-6,-616358.0,-625169.56,-625100.2,0.01109699,-1.418362,80.975413747,18373.481022798,88.315923793
weighted_max3SATIsing_sparse_L=1000000_8.h5,1999998,2.0005815011610016e-6,-616251.0,-625027.56,-624959.6,0.010869521,-1.413162,83.349623218,18380.261949301,85.852563947
weighted_max3SATIsing_sparse_L=1000000_9.h5,1999998,1.9994379988739985e-6,-615561.06,-624388.6,-624320.9,0.010850614,-1.4230615,83.019243705,18369.10411765,83.376235824
weighted_max3SATIsing_sparse_L=5000000_1.h5,9999998,3.99985199994064e-7,-3.074174e6,NaN,-3.124424e6,NaN,-1.6345855,404.659024309,6552.459315284,NaN
weighted_max3SATIsing_sparse_L=5000000_10.h5,9999998,3.99970079988016e-7,-3.0746815e6,NaN,-3.125053e6,NaN,-1.6382672,418.344814145,6550.135944844,NaN
weighted_max3SATIsing_sparse_L=5000000_2.h5,9999998,3.99953719981472e-7,-3.0752122e6,NaN,-3.1253515e6,NaN,-1.6304321,411.762683155,6551.199244316,NaN
weighted_max3SATIsing_sparse_L=5000000_3.h5,9999998,3.99966519986592e-7,-3.072284e6,NaN,-3.1226645e6,NaN,-1.6398387,407.75213383,6552.226442611,NaN
weighted_max3SATIsing_sparse_L=5000000_4.h5,9999998,4.00022520008992e-7,-3.0742238e6,NaN,-3.1245115e6,NaN,-1.6357869,699.447322639,6552.525917109,NaN
weighted_max3SATIsing_sparse_L=5000000_5.h5,9999998,3.9998273999308e-7,-3.0743948e6,NaN,-3.1248095e6,NaN,-1.6398268,414.029129099,6551.731045271,NaN
weighted_max3SATIsing_sparse_L=5000000_6.h5,9999998,3.99927299970904e-7,-3.0726295e6,NaN,-3.1229842e6,NaN,-1.6388161,409.638801996,6550.025052694,NaN
weighted_max3SATIsing_sparse_L=5000000_7.h5,9999998,4.00009020003592e-7,-3.0740708e6,NaN,-3.124375e6,NaN,-1.6364051,406.907808383,6551.600346872,NaN
weighted_max3SATIsing_sparse_L=5000000_8.h5,9999998,3.9994463997784e-7,-3.0734222e6,NaN,-3.1238165e6,NaN,-1.6396787,797.389104987,6549.885333331,NaN
weighted_max3SATIsing_sparse_L=5000000_9.h5,9999998,4.00002960001168e-7,-3.0749705e6,NaN,-3.1252625e6,NaN,-1.6355278,408.602967971,6549.570947145,NaN
weighted_max3SATIsing_sparse_L=10000000_1.h5,19999998,2.00006875001373e-7,-6.149611e6,NaN,-6.250331e6,NaN,-1.6378273,704.833269316,13144.562736461,NaN
weighted_max3SATIsing_sparse_L=10000000_2.h5,19999998,1.99984829996964e-7,-6.150307e6,NaN,-6.2509785e6,NaN,-1.6368532,617.128868992,13142.444498642,NaN
weighted_max3SATIsing_sparse_L=10000000_3.h5,19999998,1.99993154998629e-7,-6.147834e6,NaN,-6.2485755e6,NaN,-1.6386503,659.613580108,13143.323139754,NaN
weighted_max3SATIsing_sparse_L=10000000_4.h5,19999998,1.99996269999252e-7,-6.146898e6,NaN,-6.247778e6,NaN,-1.641153,686.22514228,13142.026758376,NaN
weighted_max3SATIsing_sparse_L=10000000_5.h5,19999998,2.00007545001507e-7,-6.1488085e6,NaN,-6.2494945e6,NaN,-1.637488,662.148197119,13138.983908371,NaN
weighted_max3SATIsing_sparse_L=50000000_1.h5,99999998,4.000013760000549e-8,-3.0740728e7,NaN,-3.1245684e7,NaN,-1.6426286,3905.529547976,65850.60667242,NaN
weighted_max3SATIsing_sparse_L=50000000_2.h5,99999998,3.999915979996638e-8,-3.0739714e7,NaN,-3.1245028e7,NaN,-1.6438475,4060.256317747,65866.925688929,NaN
weighted_max3SATIsing_sparse_L=100000000_1.h5,199999998,2.0000257800005155e-8,-6.147563e7,NaN,-6.2490616e7,NaN,-1.6510347,9123.437108913,131757.702743584,NaN
weighted_max3SATIsing_sparse_L=100000000_2.h5,199999998,2.0000013300000264e-8,-6.147577e7,NaN,-6.2490884e7,NaN,-1.6512457,9926.585022899,131758.836856329,NaN
