instance,size,density,cplex_energy,runtime_cplex
weighted_max3SATIsing_sparse_L=20000_1.h5,39998,0.00010010376012575318,-12362.686,0.913049959
weighted_max3SATIsing_sparse_L=20000_10.h5,39998,0.00010005250500036878,-12535.71,0.949725466
weighted_max3SATIsing_sparse_L=20000_2.h5,39998,0.00010011376112582818,-12374.512,1.014887579
weighted_max3SATIsing_sparse_L=20000_3.h5,39998,9.993374312447808e-5,-12617.217,0.896532341
weighted_max3SATIsing_sparse_L=20000_4.h5,39998,9.987998774907494e-5,-12636.038,0.995654247
weighted_max3SATIsing_sparse_L=20000_5.h5,39998,0.00010003625337524689,-12468.548,1.033606596
weighted_max3SATIsing_sparse_L=20000_6.h5,39998,0.00010017876762631572,-12470.438,1.083188061
weighted_max3SATIsing_sparse_L=20000_7.h5,39998,0.00010015751550115633,-12507.837,0.893361799
weighted_max3SATIsing_sparse_L=20000_8.h5,39998,9.989123887415931e-5,-12522.123,0.893956698
weighted_max3SATIsing_sparse_L=20000_9.h5,39998,0.00010014501425106257,-12602.225,0.906616488
weighted_max3SATIsing_sparse_L=50000_1.h5,99998,3.9956398239947036e-5,-31287.63,2.663474736
weighted_max3SATIsing_sparse_L=50000_10.h5,99998,4.0026001024030564e-5,-31257.846,2.629859568
weighted_max3SATIsing_sparse_L=50000_2.h5,99998,3.999559980799408e-5,-31069.533,2.518199426
weighted_max3SATIsing_sparse_L=50000_3.h5,99998,4.005940236007064e-5,-31246.357,2.87554217
weighted_max3SATIsing_sparse_L=50000_4.h5,99998,4.000280009600272e-5,-31379.174,2.574019297
weighted_max3SATIsing_sparse_L=50000_5.h5,99998,4.00432017120512e-5,-31246.746,2.510267305
weighted_max3SATIsing_sparse_L=50000_6.h5,99998,3.998279929597872e-5,-31175.438,2.571748825
weighted_max3SATIsing_sparse_L=50000_7.h5,99998,3.995959836795088e-5,-31223.146,2.793900653
weighted_max3SATIsing_sparse_L=50000_8.h5,99998,4.003240128003824e-5,-31328.396,2.714280253
weighted_max3SATIsing_sparse_L=50000_9.h5,99998,3.995239807994224e-5,-31249.746,2.723262617
weighted_max3SATIsing_sparse_L=100000_1.h5,199998,1.999549990799861e-5,-62662.742,5.693841489
weighted_max3SATIsing_sparse_L=100000_10.h5,199998,2.000750014800221e-5,-62398.887,5.633385994
weighted_max3SATIsing_sparse_L=100000_2.h5,199998,2.0021150421006306e-5,-62410.727,5.946576719
weighted_max3SATIsing_sparse_L=100000_3.h5,199998,2.0012550249003724e-5,-62354.273,5.563600127
weighted_max3SATIsing_sparse_L=100000_4.h5,199998,2.001260025000374e-5,-62552.934,5.689760987
weighted_max3SATIsing_sparse_L=100000_5.h5,199998,2.000009999999999e-5,-62367.156,5.605577098
weighted_max3SATIsing_sparse_L=100000_6.h5,199998,2.001240024600368e-5,-62577.297,5.716118896
weighted_max3SATIsing_sparse_L=100000_7.h5,199998,2.000140002600038e-5,-62471.98,5.629632383
weighted_max3SATIsing_sparse_L=100000_8.h5,199998,2.000650012800191e-5,-62433.152,5.671273616
weighted_max3SATIsing_sparse_L=100000_9.h5,199998,2.0015550309004624e-5,-62444.297,6.110669107
weighted_max3SATIsing_sparse_L=500000_1.h5,999998,3.9989979959759876e-6,-312743.03,40.630147529
weighted_max3SATIsing_sparse_L=500000_10.h5,999998,4.001096004368013e-6,-312417.1,38.345109902
weighted_max3SATIsing_sparse_L=500000_2.h5,999998,4.000548002176006e-6,-312728.78,41.076025937
weighted_max3SATIsing_sparse_L=500000_3.h5,999998,3.997837991335974e-6,-312061.88,38.298545502
weighted_max3SATIsing_sparse_L=500000_4.h5,999998,3.999129996503989e-6,-312333.66,38.040299042
weighted_max3SATIsing_sparse_L=500000_5.h5,999998,4.001070004264013e-6,-312543.72,43.440516078
weighted_max3SATIsing_sparse_L=500000_6.h5,999998,3.99916399663999e-6,-312191.8,38.825336675
weighted_max3SATIsing_sparse_L=500000_7.h5,999998,3.999715998847997e-6,-312584.47,37.985349767
weighted_max3SATIsing_sparse_L=500000_8.h5,999998,4.000050000184001e-6,-312383.5,40.063936368
weighted_max3SATIsing_sparse_L=500000_9.h5,999998,4.000376001488005e-6,-312546.16,38.641980546
weighted_max3SATIsing_sparse_L=1000000_1.h5,1999998,1.999684499366999e-6,-625227.5,84.171275406
weighted_max3SATIsing_sparse_L=1000000_10.h5,1999998,2.0003875007730013e-6,-625273.2,85.973626048
weighted_max3SATIsing_sparse_L=1000000_2.h5,1999998,2.000333000664001e-6,-625196.75,84.47432064
weighted_max3SATIsing_sparse_L=1000000_3.h5,1999998,2.0007405014790022e-6,-625326.8,105.526623765
weighted_max3SATIsing_sparse_L=1000000_4.h5,1999998,1.9998524997029995e-6,-625000.8,83.115899762
weighted_max3SATIsing_sparse_L=1000000_5.h5,1999998,1.999644499286999e-6,-624598.2,85.51144308
weighted_max3SATIsing_sparse_L=1000000_6.h5,1999998,1.999989499977e-6,-624769.0,86.541995582
weighted_max3SATIsing_sparse_L=1000000_7.h5,1999998,1.999936999872e-6,-625169.56,88.315923793
weighted_max3SATIsing_sparse_L=1000000_8.h5,1999998,2.0005815011610016e-6,-625027.56,85.852563947
weighted_max3SATIsing_sparse_L=1000000_9.h5,1999998,1.9994379988739985e-6,-624388.6,83.376235824
weighted_max3SATIsing_sparse_L=5000000_1.h5,9999998,3.99985199994064e-7,-3.1247878e6,587.08177137
weighted_max3SATIsing_sparse_L=5000000_10.h5,9999998,3.99970079988016e-7,-3.1254108e6,589.792680457
weighted_max3SATIsing_sparse_L=5000000_2.h5,9999998,3.99953719981472e-7,-3.125715e6,569.738050064
weighted_max3SATIsing_sparse_L=5000000_3.h5,9999998,3.99966519986592e-7,-3.1230322e6,567.038827917
weighted_max3SATIsing_sparse_L=5000000_4.h5,9999998,4.00022520008992e-7,-3.1248978e6,545.571856653
weighted_max3SATIsing_sparse_L=5000000_5.h5,9999998,3.9998273999308e-7,-3.1251732e6,633.410348942
weighted_max3SATIsing_sparse_L=5000000_6.h5,9999998,3.99927299970904e-7,-3.123348e6,560.095099377
weighted_max3SATIsing_sparse_L=5000000_7.h5,9999998,4.00009020003592e-7,-3.1247412e6,562.951423708
weighted_max3SATIsing_sparse_L=5000000_8.h5,9999998,3.9994463997784e-7,-3.1241815e6,590.931777385
