instance,size,density,sa_energy,cplex_energy,velox_energy,gap_cplex,gap_sa,runtime_velox,runtime_sa,runtime_cplex
random3BodyIsing_L=5000000_4.h5,9999998,5.00000019999988e-7,-1.9206842e7,NaN,-1.9441336e7,NaN,-1.2208878,8.048296895,6956.261281647,NaN
random3BodyIsing_L=5000000_5.h5,9999998,4.9999999999998e-7,-1.9194556e7,NaN,-1.9431074e7,NaN,-1.232214,8.006967052,6955.72690103,NaN
random3BodyIsing_L=5000000_6.h5,9999998,5.00000019999988e-7,-1.918984e7,NaN,-1.942704e7,NaN,-1.2360708,8.171556705,6956.764455261,NaN
random3BodyIsing_L=5000000_7.h5,9999998,4.99999939999956e-7,-1.919624e7,NaN,-1.942919e7,NaN,-1.2135189,8.029918461,6956.628526075,NaN
random3BodyIsing_L=5000000_8.h5,9999998,4.99999939999956e-7,-1.9192596e7,NaN,-1.9431408e7,NaN,-1.2442923,8.064602085,6956.893137597,NaN
random3BodyIsing_L=5000000_9.h5,9999998,5.00000019999988e-7,-1.9196544e7,NaN,-1.943265e7,NaN,-1.2299402,8.060077114,6955.476170341,NaN
random3BodyIsing_L=10000000_1.h5,19999998,2.499999649999905e-7,-3.8383464e7,NaN,-3.8815616e7,NaN,-1.1258807,15.875040384,13951.504036632,NaN
random3BodyIsing_L=10000000_2.h5,19999998,2.500000049999985e-7,-3.838538e7,NaN,-3.886546e7,NaN,-1.2506845,15.546882896,13950.784123714,NaN
random3BodyIsing_L=10000000_3.h5,19999998,2.500000049999985e-7,-3.8383228e7,NaN,-3.886524e7,NaN,-1.2557881,15.597246958,13951.838970992,NaN
random3BodyIsing_L=10000000_4.h5,19999998,2.500000049999985e-7,-3.8378772e7,NaN,-3.8859604e7,NaN,-1.2528592,15.469028818,13951.658403132,NaN
random3BodyIsing_L=10000000_5.h5,19999998,2.499999849999945e-7,-3.8379464e7,NaN,-3.8847852e7,NaN,-1.2204131,15.538368702,13950.385938178,NaN
random3BodyIsing_L=50000000_1.h5,99999998,4.999999619999983e-8,-1.9135926e8,NaN,-1.9431032e8,NaN,-1.5421548,60.690738277,69875.563702317,NaN
random3BodyIsing_L=50000000_2.h5,99999998,4.999999519999979e-8,-1.9135525e8,NaN,-1.941077e8,NaN,-1.4383969,60.589674113,69871.786159351,NaN
random3BodyIsing_L=100000000_1.h5,199999998,2.4999998599999972e-8,NaN,NaN,-3.88535e8,NaN,NaN,164.426144433,139723.561716629,NaN
random3BodyIsing_L=100000000_2.h5,199999998,2.499999804999996e-8,-3.8069984e8,NaN,-3.8846566e8,NaN,-2.039881,157.991146215,265485.1107801,NaN
